test_set,test_n,test_pos,train_n,val_n,pos_weight,best_epoch,val_auc,auc,pr_auc,f1,acc,prec,rec
set01,258,0.5465116500854492,3950,698,2.084,51,0.9546,0.939079832696854,0.9362531413521458,0.8550185873605948,0.8488372093023255,0.8984375,0.8156028368794326
set02,310,0.57419353723526,3903,693,2.103,14,0.9638,0.9095165134490977,0.9149399379122853,0.8864864864864865,0.864516129032258,0.8541666666666666,0.9213483146067416
set03,2094,0.3252148926258087,2396,416,1.94,46,0.9186,0.943590718864997,0.8865039429198558,0.8391304347826087,0.8939828080229226,0.8283261802575107,0.8502202643171806
set04,1610,0.3062111735343933,2802,494,1.928,45,0.9667,0.8783724152458501,0.761969423056988,0.7241379310344828,0.8211180124223603,0.6860254083484574,0.7667342799188641
set05,47,0.3191489279270172,4137,722,2.104,14,0.939,0.9958333333333333,0.9913888888888889,0.9375,0.9574468085106383,0.8823529411764706,1.0
set06,587,0.23850084841251373,3669,650,1.935,6,0.9304,0.9570469798657718,0.85278357844715,0.7928571428571428,0.9011925042589438,0.7928571428571428,0.7928571428571428
