test_set,test_n,test_pos,train_n,val_n,pos_weight,best_epoch,val_auc,auc,pr_auc,f1,acc,prec,rec
set01,258,0.5465116500854492,3950,698,2.084,34,0.953,0.9449596896405407,0.9462613419858097,0.8736462093862816,0.8643410852713178,0.8897058823529411,0.8581560283687943
set02,310,0.57419353723526,3903,693,2.103,14,0.9625,0.931477698331631,0.9137627495749571,0.8703170028818443,0.8548387096774194,0.893491124260355,0.848314606741573
set03,2094,0.3252148926258087,2396,416,1.94,26,0.9213,0.9276489655007571,0.8789298241467286,0.8419540229885057,0.894937917860554,0.8241912798874824,0.8604992657856094
set04,1610,0.3062111735343933,2802,494,1.928,22,0.9611,0.8972926249498347,0.7462798841629065,0.7331536388140162,0.815527950310559,0.6580645161290323,0.8275862068965517
set05,47,0.3191489279270172,4137,722,2.104,15,0.9395,0.9979166666666667,0.9958333333333333,0.967741935483871,0.9787234042553191,0.9375,1.0
set06,587,0.23850084841251373,3669,650,1.935,24,0.9441,0.9746724193032917,0.890323310995201,0.8561643835616438,0.9284497444633731,0.8223684210526315,0.8928571428571429
