config,val_f1_mean,val_f1_std,val_acc_mean,val_auc_mean,val_auc_std,is_f1_winner,is_auc_winner
lr1e-04_do0.2_h256_nl2,0.8554,0.0141,0.9265,0.9721,0.0051,True,True
lr1e-03_doNA_h256_nl1,0.8509,0.013,0.9249,0.9714,0.0054,False,False
lr1e-03_do0.5_h256_nl2,0.8498,0.0221,0.9246,0.9677,0.0052,False,False
lr5e-04_do0.2_h128_nl2,0.8491,0.0194,0.9233,0.967,0.0072,False,False
lr5e-04_doNA_h256_nl1,0.8473,0.0065,0.9233,0.9689,0.0039,False,False
lr1e-03_do0.3_h128_nl2,0.8429,0.0141,0.9202,0.9671,0.003,False,False
lr1e-03_do0.5_h128_nl2,0.8428,0.007,0.9196,0.9686,0.0048,False,False
lr1e-03_do0.3_h64_nl2,0.8417,0.012,0.9186,0.967,0.0023,False,False
