model,auc,f1,acc,prec,rec
bilstm_bbox_only,0.925 +/- 0.010,0.821 +/- 0.009,0.879 +/- 0.010,0.797 +/- 0.043,0.850 +/- 0.040
bilstm_attention,0.753 +/- 0.020,0.551 +/- 0.028,0.744 +/- 0.007,0.644 +/- 0.033,0.486 +/- 0.058
