test_set,test_n,test_pos,train_n,val_n,pos_weight,best_epoch,val_auc,auc,pr_auc,f1,acc,prec,rec
set01,258,0.5465116500854492,3950,698,2.083528493364559,21,0.9624081295935203,0.9049524155907135,0.8259440915631606,0.9045936395759717,0.8953488372093024,0.9014084507042254,0.9078014184397163
set02,310,0.57419353723526,3903,693,2.102543720190779,31,0.9721296042050759,0.9211780728634662,0.9189246959245811,0.8725212464589235,0.8548387096774194,0.88,0.8651685393258427
set03,2094,0.3252148926258087,2396,416,1.9398773006134968,29,0.9192334529505581,0.9496094062580215,0.8913869667021341,0.8457223001402524,0.894937917860554,0.8093959731543624,0.8854625550660793
set04,1610,0.3062111735343933,2802,494,1.9278996865203761,55,0.9760954135954136,0.8847191023478204,0.7401356549447431,0.7140468227424749,0.7875776397515528,0.6073968705547653,0.8661257606490872
set05,47,0.3191489279270172,4137,722,2.1035258814703677,22,0.9531674565560821,1.0,1.0,0.967741935483871,0.9787234042553191,0.9375,1.0
set06,587,0.23850084841251373,3669,650,1.9352,35,0.9546452301850974,0.9745925215723874,0.9069182103311302,0.8516129032258064,0.9216354344122658,0.7764705882352941,0.9428571428571428
